technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
ICA,Tree,0.9400141915272079,3.238412380218506,0.6662420382165605,2.59765625,0.9349622356013254,0.9460285132382892
ICA,Tree,0.9396844888668299,3.224078893661499,0.6645965468639887,2.69921875,0.9347386569950126,0.945010183299389
ICA,Tree,0.9568893903003763,3.5493369102478027,0.6740605427974948,2.40234375,0.9555543714314174,0.9582484725050916
ICA,KNN,0.9367988710903499,8.97249722480774,0.7391980508540474,2.64453125,0.9181584853900827,0.9562118126272913
ICA,KNN,0.9468610203993288,8.744341850280762,0.7123548046462513,2.58203125,0.9299872242109499,0.9643584521384929
ICA,KNN,0.9443334115850628,8.819185733795166,0.6989517265680056,2.5703125,0.927952117710628,0.9613034623217923
ICA,KNN,0.9383046766881918,9.003870964050293,0.6630307855626327,2.65234375,0.9201130554054615,0.9572301425661914
ICA,KNN,0.9207812844705484,8.931771039962769,0.6594809760132341,2.49609375,0.8968466027641274,0.9460285132382892
ICA,KNN,0.9195516901993795,8.954193592071533,0.6160407823384852,2.9609375,0.9046206025397038,0.9419551934826884
ICA,KNN,0.9333036320434487,8.864315032958984,0.6417183562705951,2.74609375,0.9123945893703775,0.955193482688391
ICA,KNN,0.9393236256780044,9.239901065826416,0.6702892781316349,2.71875,0.9201927982711205,0.9592668024439919
ICA,KNN,0.921290339074044,9.101736068725586,0.6110215053763441,2.546875,0.89689772317188,0.9470468431771895
ICA,KNN,0.938814416120433,9.195869207382202,0.6477176220806795,2.66796875,0.9201529674819535,0.9582484725050916
ICA,LogReg,0.9423369350278005,1.5179870128631592,0.8270238626226584,4.85546875,0.9241043466718655,0.9613034623217923
ICA,LogReg,0.9378177978442966,1.8330926895141602,0.8363443145589798,4.71875,0.9182401350583413,0.9582484725050916
